state,level,week,year
AL,1,42,2020
AL,1,43,2020
AL,7,12,2016
AL,9,13,2016
AL,5,14,2016
AL,3,15,2016
AL,4,16,2016
AL,2,17,2016
AL,1,18,2016
AL,1,19,2016
AL,1,20,2016
AL,1,21,2016
AL,1,22,2016
AL,1,23,2016
AL,1,24,2016
AL,1,25,2016
AL,1,26,2016
AL,1,27,2016
AL,1,28,2016
AL,1,29,2016
AL,1,30,2016
AL,1,31,2016
AL,1,32,2016
AL,1,33,2016
AL,1,34,2016
AL,1,35,2016
AL,1,36,2016
AL,1,37,2016
AL,1,38,2016
AL,1,39,2016
AL,1,40,2016
AL,1,41,2016
AL,1,42,2016
AL,1,43,2016
AL,2,44,2016
AL,1,45,2016
AL,2,46,2016
AL,2,47,2016
AL,2,48,2016
AL,2,49,2016
AL,5,50,2016
AL,8,51,2016
AL,10,52,2016
AL,7,1,2017
AL,6,2,2017
AL,10,3,2017
AL,10,4,2017
AL,10,5,2017
AL,10,6,2017
AL,10,7,2017
AL,10,8,2017
AL,10,9,2017
AL,10,10,2017
AL,10,11,2017
AL,10,12,2017
AL,9,13,2017
AL,4,14,2017
AL,3,15,2017
AL,2,16,2017
AL,1,17,2017
AL,1,18,2017
AL,1,19,2017
AL,2,20,2017
AL,1,21,2017
AL,1,22,2017
AL,1,23,2017
AL,1,24,2017
AL,1,25,2017
AL,1,26,2017
AL,1,27,2017
AL,1,28,2017
AL,1,29,2017
AL,1,30,2017
AL,1,31,2017
AL,1,32,2017
AL,1,33,2017
AL,1,34,2017
AL,1,35,2017
AL,1,36,2017
AL,1,37,2017
AL,1,38,2017
AL,1,39,2017
AL,2,40,2017
AL,2,41,2017
AL,2,42,2017
AL,3,43,2017
AL,4,44,2017
AL,4,45,2017
AL,5,46,2017
AL,5,47,2017
AL,5,48,2017
AL,7,49,2017
AL,10,50,2017
AL,10,51,2017
AL,10,52,2017
AL,10,1,2018
AL,10,2,2018
AL,10,3,2018
AL,10,4,2018
AL,10,5,2018
AL,10,6,2018
AL,10,7,2018
AL,10,8,2018
AL,7,9,2018
AL,5,10,2018
AL,4,11,2018
AL,4,12,2018
AL,3,13,2018
AL,2,14,2018
AL,1,15,2018
AL,1,16,2018
AL,1,17,2018
AL,1,18,2018
AL,1,19,2018
AL,1,20,2018
AL,1,21,2018
AL,1,22,2018
AL,1,23,2018
AL,1,24,2018
AL,1,25,2018
AL,1,26,2018
AL,1,27,2018
AL,1,28,2018
AL,1,29,2018
AL,1,30,2018
AL,1,31,2018
AL,1,32,2018
AL,1,33,2018
AL,1,34,2018
AL,1,35,2018
AL,1,36,2018
AL,1,37,2018
AL,1,38,2018
AL,1,39,2018
AL,2,40,2018
AL,2,41,2018
AL,2,42,2018
AL,3,43,2018
AL,4,44,2018
AL,5,45,2018
AL,5,46,2018
AL,6,47,2018
AL,6,48,2018
AL,5,49,2018
AL,8,50,2018
AL,9,51,2018
AL,10,52,2018
AL,9,1,2019
AL,7,2,2019
AL,10,3,2019
AL,10,4,2019
AL,10,5,2019
AL,10,6,2019
AL,10,7,2019
AL,10,8,2019
AL,10,9,2019
AL,10,10,2019
AL,10,11,2019
AL,8,12,2019
AL,6,13,2019
AL,5,14,2019
AL,3,15,2019
AL,2,16,2019
AL,3,17,2019
AL,2,18,2019
AL,2,19,2019
AL,1,20,2019
AL,1,21,2019
AL,1,22,2019
AL,1,23,2019
AL,1,24,2019
AL,1,25,2019
AL,1,26,2019
AL,1,27,2019
AL,1,28,2019
AL,1,29,2019
AL,1,30,2019
AL,1,31,2019
AL,1,32,2019
AL,1,33,2019
AL,1,34,2019
AL,1,35,2019
AL,2,36,2019
AL,2,37,2019
AL,2,38,2019
AL,2,39,2019
AL,2,40,2019
AL,2,41,2019
AL,3,42,2019
AL,3,43,2019
AL,4,44,2019
AL,6,45,2019
AL,7,46,2019
AK,7,11,2016
AK,4,10,2016
AK,1,9,2016
AK,1,8,2016
AK,1,7,2016
AK,1,6,2016
AK,1,5,2016
AK,1,4,2016
AK,1,3,2016
AK,1,2,2016
AK,1,1,2016
AK,1,52,2016
AK,1,51,2015
AK,1,50,2015
AK,1,49,2015
AK,1,48,2015
AK,1,47,2015
AK,1,46,2015
AK,1,45,2015
AK,1,44,2015
AK,1,43,2015
AK,1,42,2015
AK,1,41,2015
AK,1,40,2015
AK,1,39,2015
AK,1,38,2015
AK,1,37,2015
AK,3,36,2015
AK,1,35,2015
AK,1,34,2015
AK,1,33,2015
AK,1,32,2015
AK,1,31,2015
AK,1,30,2015
AK,1,29,2015
AK,1,28,2015
AK,2,27,2015
AK,2,26,2015
AK,3,25,2015
AK,2,24,2015
AK,1,23,2015
AK,1,22,2015
AK,1,21,2015
AK,1,20,2015
AK,1,19,2015
AK,1,18,2015
AK,1,17,2015
AK,1,16,2015
AK,1,15,2015
AK,1,14,2015
AK,1,13,2015
AK,1,12,2015
AK,1,11,2015
AK,1,10,2015
AK,1,9,2015
AK,1,8,2015
AK,1,7,2015
AK,1,6,2015
AK,1,5,2015
AK,1,4,2015
AK,3,3,2015
AK,1,2,2015
AK,1,1,2015
AK,3,53,2015
AK,3,52,2014
AK,3,51,2014
AK,1,50,2014
AK,3,49,2014
AK,3,48,2014
AK,4,47,2014
AK,5,46,2014
AK,4,45,2014
AK,2,44,2014
AK,1,43,2014
AK,1,42,2014
AK,1,41,2014
AK,1,40,2014
