week,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
11,16.019491634491633,61.81368530020706,49.20248447204968,56.66428571428572,50.19107973421927,33.11899801587302,37.415873015873025,44.73809523809525,69.88029556650245,61.273187830687846,69.26493506493506,29.70644841269841,26.54835164835165,40.11666666666667,40.10238095238096,37.45928571428571,47.47582417582416,61.06437229437231,35.84060150375939,45.57142857142857,27.779047619047624,30.20991253644315,20.415614617940207,40.656122448979595,58.838571428571434,17.00690476190476,53.750595238095244,10.711666666666666,28.005911330049265,30.77285714285714,41.55714285714286,43.52402597402597,43.7452380952381,34.93309523809524,41.72142857142857,47.923529411764704,36.898857142857146,40.57804232804233,37.05714285714286,58.38125,20.266666666666666,52.1530612244898,54.391197278911584,35.265306122448976,48.604147465437784,30.369387755102046,34.17857142857143,26.749553571428567,44.89183673469388,21.25238095238095
12,3.5969583869583883,59.9310559006211,55.4832298136646,65.33775510204083,56.492159468438565,48.84285714285714,39.12539682539682,44.411428571428566,68.77368637110017,58.406283068783075,71.41428571428574,47.51190476190475,41.773626373626364,50.32301587301588,47.688775510204074,55.335714285714296,51.19450549450547,62.89519480519482,37.36015037593985,44.62077922077922,30.447619047619053,38.58425655976677,37.26843853820598,54.085714285714296,59.93301587301588,41.137142857142855,49.74892857142858,32.8702380952381,50.56650246305419,34.82857142857144,41.77912087912088,56.46038961038961,55.503571428571405,38.632619047619045,45.533142857142856,60.57058823529411,44.53242857142857,42.791005291005284,38.22142857142858,54.60446428571429,45.25714285714287,53.51020408163265,64.30650793650794,51.534948979591825,46.16850998463902,35.538775510204076,42.51428571428571,40.393087557603685,45.42857142857143,43.6873015873016
13,14.585642646439107,62.417142857142856,55.626501035196675,56.61428571428571,55.40193798449614,32.293601190476195,41.196825396825396,46.55873015873016,70.23652138821629,61.2783537414966,71.77792207792206,39.66164682539682,35.176923076923075,49.90317460317461,49.53265306122449,41.825,55.069230769230785,64.37256493506496,38.171428571428564,46.52467532467533,32.924761904761894,37.793537414966,30.32912513842746,48.490816326530606,62.281904761904755,30.17571428571428,54.244785714285726,23.719047619047622,36.728078817733994,34.91142857142857,43.28241758241757,46.255844155844144,47.672420634920634,40.5377380952381,47.83535714285715,51.82091036414566,41.96342857142857,43.03968253968254,39.56071428571428,58.99374999999999,31.190793650793648,58.0734693877551,62.08031292517004,37.95765306122449,48.56175115207375,36.240816326530606,41.450230414746535,34.966897081413215,47.636734693877564,28.429365079365077
14,15.634833544037088,60.19453416149069,55.72732919254658,59.12448979591837,54.79065134099616,32.06964285714286,47.201587301587296,52.414285714285704,72.26743341404361,60.11244047619049,71.84285714285714,40.452619047619045,34.9912087912088,47.99285714285714,47.32142857142858,44.84642857142857,52.65274725274726,63.86428571428571,44.584210526315786,53.62207792207792,39.596190476190465,39.00903790087463,33.05426356589147,48.77857142857143,61.17333333333333,32.337857142857146,58.51742857142857,27.075000000000006,37.382266009852216,41.866233766233776,50.34175824175824,49.12272727272728,46.809523809523824,45.04190476190475,48.535,54.43982683982684,41.44,48.114285714285714,45.596428571428575,60.73571428571428,29.972222222222218,55.37551020408164,63.676734693877506,37.318877551020414,54.70291858678955,42.279591836734696,41.86,36.280654761904756,49.710204081632654,27.401587301587302
15,23.357713864306785,57.359171842650106,51.632298136645964,61.66020408163267,55.237418831168824,40.623809523809534,43.48253968253968,49.66190476190476,67.89814366424535,58.37537414965986,70.95584415584415,40.77619047619048,45.353846153846156,43.985859788359775,43.03775510204081,44.926428571428566,47.980219780219784,62.12240259740261,42.48571428571429,50.42727272727273,38.899047619047636,36.63119533527696,36.844119601328906,44.36326530612246,57.88095238095239,44.037619047619046,55.23660714285714,33.77380952380953,39.356157635467966,39.46493506493507,45.691208791208794,50.91103896103896,52.501904761904775,40.181269841269845,42.485714285714295,53.173179271708705,48.72262857142857,43.629100529100526,43.75357142857143,58.31875,35.76111111111112,52.12448979591837,62.18209523809523,47.54013605442178,51.44821428571429,37.8469387755102,49.92811059907834,38.01741071428571,44.64897959183674,39.07275132275133
16,24.581811224489797,61.307080745341615,56.92091097308488,61.33979591836735,57.07631229235885,43.34940476190476,49.41904761904761,50.552380952380965,70.87867231638417,60.91547619047618,72.37142857142857,50.64285714285713,44.183699633699625,52.142301587301596,50.776530612244905,53.13071428571429,54.79725274725275,65.66558441558442,46.13383458646617,51.61818181818182,41.55695238095238,46.30641399416911,49.40764119601329,52.734693877551024,61.72666666666667,43.507285714285715,57.075876887340314,46.11428571428571,51.24088669950738,44.022077922077926,50.05164835164836,52.862987012987006,52.41349206349207,46.956650246305415,50.602142857142866,57.64033613445378,46.03392857142857,49.517460317460326,47.88928571428572,60.22232142857143,48.96507936507936,57.19795918367347,65.14514739229028,46.207142857142856,53.759375,43.53265306122449,46.57235023041474,48.08035714285713,50.98775510204082,40.33142857142858
17,32.794260429835646,67.41987577639752,67.77701863354037,72.92142857142858,63.72849480021893,52.639880952380935,53.8873015873016,58.99047619047619,72.93680387409199,68.1574074074074,71.20324675324675,54.84940476190477,50.251648351648356,60.66322751322751,58.376020408163264,62.982857142857114,62.10879120879121,71.64610389610391,53.70902255639097,59.125974025974024,48.854285714285716,47.97580174927114,47.29335548172757,64.38163265306122,68.20190476190476,47.220714285714294,65.44599303135888,45.29642857142858,55.45517241379311,51.57792207792207,56.72527472527472,64.0435064935065,62.54119047619047,52.921904761904784,58.51196428571429,70.30924369747898,51.62561904761907,55.289417989418,53.35,67.925,50.23809523809525,64.86734693877551,72.82734693877548,56.636734693877536,62.090178571428574,51.755102040816325,50.64009216589862,46.41116071428571,57.2,47.401587301587284
18,42.57332911925831,72.00020703933747,67.22385093167702,71.5173469387755,57.79957307060755,48.760119047619035,59.78571428571429,63.452380952380935,75.17699757869251,71.27103174603175,72.78279220779221,53.52500000000001,43.20637362637361,61.586111111111116,61.30204081632653,55.49749999999999,66.39835164835164,74.66818181818181,58.05037593984964,66.08571428571429,52.07866666666666,52.48367346938774,47.086710963455154,59.453061224489815,72.22539682539681,39.357142857142854,69.49076655052265,44.03690476190477,50.135960591133006,56.859740259740256,63.06813186813186,62.797402597402595,59.560238095238105,57.5252380952381,62.17761904761907,62.931512605042016,47.40076190476189,62.44920634920634,57.36428571428571,70.76339285714283,46.592063492063495,68.81632653061224,72.95254421768708,53.59872448979592,67.38258928571429,56.65102040816327,50.37603686635946,51.07991071428572,63.69183673469389,40.32539682539683
19,37.550549120549114,73.05614906832297,66.35341614906835,80.63265306122447,65.43318281335524,55.024404761904776,56.969444444444456,60.961904761904776,78.74600484261505,73.5284259259259,75.66753246753245,58.80857142857143,47.54725274725274,62.045793650793655,60.03061224489796,60.753571428571426,63.725274725274716,77.1762987012987,56.773684210526326,63.684415584415596,52.08380952380952,54.3043731778426,52.371096345514964,62.40884353741496,72.9264761904762,48.326428571428565,71.0049825783972,49.069047619047616,57.331527093596065,55.18961038961039,60.310989010989026,70.01168831168829,67.23412698412699,56.03447619047619,59.502255639097726,64.92384453781513,50.39028571428572,58.73280423280424,55.514285714285705,73.23928571428571,52.272222222222226,67.53673469387755,76.15868027210884,58.221978021978025,65.76339285714286,54.78367346938776,50.64239631336407,55.33749999999999,59.6673469387755,46.54444444444446
20,41.29015170670036,71.32604554865425,66.89658385093168,82.24795918367344,67.36636562671046,57.689880952380975,56.632539682539694,63.24285714285714,78.20084745762712,70.97447089947089,75.38961038961041,55.52172619047619,51.374725274725286,61.39126984126985,59.364795918367356,61.585,64.6412087912088,75.37932900432901,55.913533834586474,63.68571428571428,52.42031746031747,52.134110787172006,51.40265780730896,62.501020408163264,72.26285714285716,49.665000000000006,65.9882619047619,48.97261904761905,56.84827586206898,54.742857142857154,60.221978021978025,68.20909090909093,70.54940476190477,55.29309523809522,59.65864661654135,66.6798319327731,54.05561904761907,59.17989417989415,55.26428571428572,69.0125,53.34761904761905,66.86938775510204,75.72780045351472,61.02193877551021,63.57113095238096,54.210204081632654,52.988018433179725,52.76160714285715,60.31836734693877,50.18015873015873
