week,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
11,66.14486624340519,54.06202293828421,54.55959745461038,25.37927563397449,58.73468096643157,49.835847315832595,58.60667421814529,63.44445281569696,58.39153228283125,54.003797448266155,70.51960765814633,78.0135645450912,58.646097920263976,74.33375446233056,73.61581017366419,52.437042689309905,64.52191520242039,57.585458734964924,58.44360935348761,60.39463740071867,65.55011237104763,71.34722195533067,73.38350933164061,61.750891318404896,58.59719031494732,59.767855985594814,53.91464158004693,76.00392714030507,59.19999529972185,60.70160765546621,60.266069251729746,25.699555492419552,28.44558546025237,62.048492553896274,71.78207452712442,54.631529489912005,68.49214877506111,63.538970440949534,57.18048169723434,48.46873998196878,65.33940307891181,56.70549321521615,47.41326797197025,45.737427771222464,58.56793678067258,62.98713535503321,75.05167407323131,71.8984008764374,60.64427106315308,50.16786172501147
12,68.62523324959486,58.529872151576,68.41378831930821,20.040306585492235,55.15138626286217,45.51521167140822,53.939387790732425,53.64439038407508,69.95921858884336,60.227001022802774,72.34729813492291,67.49946416913433,57.87478072092172,63.3189725790086,62.64882239028353,61.672583304832685,58.14023752341997,65.83764965471107,58.8219050055711,51.33431625063244,59.79067760100127,71.22829680113746,67.92442204282753,64.72608405012251,64.39177104728799,60.28397366277081,52.91973795293988,75.11681831375343,61.0128492300905,57.368122482660745,51.50840157807602,23.336045620925947,25.090802190785393,62.24798938908944,64.94894103850608,66.18496978379036,66.59955241488693,58.97559577221297,55.914242874098946,54.45613020002109,67.53925491323369,58.77826310645542,56.99652143115689,39.37269317096665,51.88003571272649,62.721624753051955,65.98255593509404,66.2951943985313,52.953215617855555,56.843164400595334
13,73.9000922914844,54.06220626307906,64.94936458721949,18.19729830295595,62.44263268931378,45.689608526400434,52.422985168673534,60.73460619234766,51.06374620953443,53.14999869167288,75.0591523812769,70.66374519490485,56.55266358820396,70.24817818402761,67.21221079263383,59.75731134675421,71.04251635932468,58.36219521752986,57.7079954453676,61.928797563533344,60.237029610690136,62.23926145095714,67.70163864038264,66.92347520529283,60.58415041902706,55.705260218386904,55.447463696688786,78.95452761086496,56.92666577437456,56.59169051680818,55.374673510060255,22.919980729644536,29.163749442872657,60.45978527726397,66.1232020261334,59.182437772889735,67.70183244019842,62.5393002025579,56.55378495199788,48.8090871010162,64.21651035154014,67.29849748116797,51.80637674783253,37.54207215078888,59.92982807650152,60.17747965570997,63.234481487369614,63.627441103529435,64.23905930936995,49.85114075204231
14,67.55979564476634,63.85290415287798,63.23029039409673,21.131778608884787,67.59181879837783,45.141121430496895,44.655068670488774,47.191587144195,72.88399468796209,65.19717600395646,67.66984382938318,57.264332330911614,58.481727258906524,47.90607075044894,45.36358477459995,54.57411418950668,46.019460400243396,74.01985519961123,45.70935196184607,46.637832884993294,49.01276302641858,53.30851456342671,65.63122505850366,47.48535574406511,70.21759551845979,53.014723030611925,55.77404719760681,73.93782776619095,48.52575947047593,42.06897729644013,41.61880163750606,26.541160423303307,35.041035715259525,48.07694485159659,42.80898739579626,72.63427423615873,74.11821884400746,42.51056679325904,51.10342637636681,59.15628744976701,56.578992084985686,54.83227837694235,68.18927897987294,46.89942545511752,48.74216530672766,45.12678355477191,71.05822384418703,56.416767773575685,41.750517222600116,46.55491414555983
15,67.24812475620121,63.723481283636026,65.81829743405207,25.28010380514504,50.1968792512529,52.83563952337449,64.23346891049862,63.066777442595736,71.56975328212539,65.71724192629445,74.504843986038,79.67126573168932,51.94638531013146,71.30239768768732,70.98316547573174,63.269465891857045,60.43977950121583,72.48605461257132,70.55449278314174,59.27812365673724,69.95835657136521,80.9182224605268,74.65574628930838,67.68707723101525,71.44675526220655,62.59126083505939,60.78732081970786,78.02520210729331,76.26995257785595,67.8908790743758,59.91730590116589,28.51055004624773,28.370804624637863,70.12590722521222,69.21476552102379,66.96567084353092,66.77483976710143,60.76313016167353,71.36443491676344,64.12995443090227,83.38231687451747,61.22861527824544,60.411163543138244,45.354378252744205,53.134656938446064,70.95511404021832,68.37569033006622,81.26183928129448,49.15405126254186,65.91046812682953
16,62.0835144852766,68.39824192067618,64.81759338436565,17.217748960335552,41.700665497635654,56.566896233390516,58.31518005012944,68.17546261116125,74.23683066234831,71.64261516912156,77.03748185793384,71.0152113279613,52.878149314270715,71.45279514969523,70.80876700505736,56.91855907499731,63.54213212293927,71.75831273644764,60.36787938860947,66.30777977983566,59.57685994375935,70.27435364037099,73.13397164003533,65.53391126131086,70.86736921654659,64.9237299062066,69.90228771645373,77.92144957449398,66.04579359948205,53.868495192878854,57.92073310780046,21.313232015255775,30.005845742674573,60.43655338373046,65.38920160946178,60.89849794673878,66.72467472039267,60.441296622644536,64.83560209147899,70.81860408545049,76.18244470010114,63.722522661467636,56.15082314530866,47.344407691065314,65.86073273045142,54.94726640361101,66.31975726328706,72.2114950219418,57.86481197169746,63.17395839265222
17,68.24935539245476,63.449643943231834,67.28833121423396,13.77238541768857,49.7971300475704,37.05669282404329,55.419362022190455,57.84390829694068,67.78377833031453,62.336847765069656,73.8849276283415,62.84127307207772,39.79350691182121,68.75757093712005,64.81460028756655,61.89969448455391,64.19164630267984,73.58847336030394,61.61382337341257,57.93332863250547,56.64598016814365,61.4008693363661,60.79354817343507,66.93258527239286,71.57298573864595,41.97999591805013,62.9174488928368,59.795092426626425,52.302721430909536,52.39662685078432,51.82214733768878,22.48740710121258,16.220124371083994,53.16726535227849,59.13488660453272,66.0681232453926,46.391442784772025,51.75415992960066,64.95654584093313,63.772437490911905,52.213301556737264,64.43912625389329,62.66531512863958,26.80480088646519,59.44233830906335,49.56149034816647,52.90556959297147,61.749480965037314,48.851365174526244,42.970877421948146
18,72.22679856772221,73.73039757872006,72.34053342973849,9.883963716366653,38.841497823415594,36.59286306027761,54.43309839465975,71.37380166333287,76.54995267099225,81.68817665453942,74.34201125552404,71.51154603647699,38.95544413041975,73.39285304904243,63.75046826775593,57.81787713511572,68.57636638459354,73.07113311929884,54.992949460190296,69.54653989303277,52.04353242322888,61.53571566862542,64.49161238052284,71.58711513681281,76.69469222411948,45.043078799001854,81.0939376693627,55.02466079939835,53.99617364897942,45.322208710138405,60.07873003778786,17.319832763817793,14.198010012514288,51.359522110292595,58.40620583943219,63.373608713848114,41.22633784255293,55.213208910871536,60.61313653283156,80.90947710715794,48.43344092586124,71.65304076541888,54.34670036804994,24.150030960605307,74.30459179608835,40.93384772727522,47.831720617131644,68.89854735886642,51.647442698694604,49.42112455194681
19,70.02862084560938,71.30236203421478,66.59847301321018,25.55996148129364,59.66587771752373,54.31596154860898,76.36676098164449,77.79763157141417,67.46066850188913,68.06171233608185,74.35107011348816,63.088487105456885,41.29086135809026,66.91244263165623,68.98340217614137,61.924156688229246,73.8415864123963,71.05069018061404,77.92193672361671,76.98917666672064,74.40359540890955,59.59746667930322,55.906730543260295,66.40264985840014,72.89687328320039,37.58785361941248,70.69448433291116,42.14885128604772,57.34357370998336,66.71836025339343,72.91242075131261,33.02996134703969,34.42087473727491,69.15029614286514,70.93313546397451,66.67260926338078,58.236643446465024,72.23827052118473,83.47045924423568,65.80206696747341,50.473698300669,71.44054284675914,60.45163225801954,43.5229735971219,75.45429115397006,58.6500093719087,54.48103004291104,55.24190622316497,72.08287936724744,44.99600391138423
20,69.64864332615599,63.91965209173438,67.75420359660619,15.143724347299974,50.94240804167823,35.615554928644535,56.47582838314453,59.045970916257495,61.66557859251232,60.256660094739196,72.50654526269999,53.34710749609149,49.33263615691308,60.492593925647405,57.862056252713614,55.860697581973,64.43012819159347,68.68779890634825,54.789623803389404,58.79485314872993,59.25456339658374,52.91770924745284,49.68971229315512,61.992465325429315,67.8373689372719,51.54163651711573,59.87132698125895,52.672095805712594,49.16394540979186,52.789125875178115,57.017913229942074,17.48889259757222,23.150804092124268,57.41463634011359,60.58585532114664,66.25170063219375,65.86825631040426,58.32943045401011,57.48702895997284,58.15886903218282,50.98635419986425,64.30089985789425,60.92585595801211,31.95847472615085,61.193850245201006,55.38293809685074,66.19389607847279,52.76813862917983,60.70538357972144,46.65614996874543
