state,week,year,level,temp,humid
WA,43,2016,1,51.43727678571428,81.98843206253994
WA,43,2017,1,49.52053571428571,78.92438890564709
WA,43,2018,1,51.15691964285713,79.55326328457292
WA,44,2008,1,48.93952380952381,72.70703220080941
WA,44,2009,8,46.50078125,78.27425269023709
WA,44,2010,1,50.330803571428575,79.62953719206679
WA,44,2011,1,40.55312499999999,72.18560516262609
WA,44,2012,1,53.7405529953917,86.34608318361248
WA,44,2013,1,46.22976190476189,68.5353318717915
WA,44,2014,1,50.21031746031746,82.800488435089
WA,44,2015,1,52.82811059907834,81.95662741005695
WA,44,2016,1,51.19441964285714,81.85112514039797
WA,44,2017,1,42.25937499999999,72.39172450621696
WA,44,2018,1,51.914732142857154,80.2489900895408
WA,45,2008,1,46.82349206349206,83.97611104403305
WA,45,2009,7,44.221168154761905,76.73424520865925
WA,45,2010,1,41.93437499999999,84.61064020742481
WA,45,2011,1,41.49375000000001,76.35454978238444
WA,45,2012,1,43.10506912442397,77.12864016090195
WA,45,2013,1,43.096056547619035,82.98758016245215
WA,45,2014,1,50.600317460317456,81.52385121806543
WA,45,2015,1,45.60018433179723,80.63675873606479
WA,45,2016,1,52.17678571428571,82.50848231726083
WA,45,2017,1,40.387946428571404,82.45069048248182
WA,45,2018,1,41.47678571428569,78.94056248378612
WA,46,2008,1,46.86038095238095,78.66635983854214
WA,46,2009,3,40.30252976190477,79.68791132338089
WA,46,2010,1,41.815848214285715,78.86742706223386
WA,46,2011,1,36.02357142857144,78.63516371182517
WA,46,2012,2,42.82688172043011,87.07271498770449
WA,46,2013,1,45.105491071428574,80.57480768526254
WA,46,2014,1,33.76555555555555,50.39585359224407
WA,46,2015,1,45.585345622119796,78.89738023878714
WA,46,2016,1,45.12857142857143,81.32364771294316
WA,46,2017,1,43.89955357142857,78.39597589558622
WA,46,2018,1,41.10758928571428,76.79801666358841
WA,47,2008,1,42.820952380952384,77.35351455003429
WA,47,2009,1,44.274107142857154,73.8257059692673
WA,47,2010,1,26.599938556067592,79.15891654870937
WA,47,2011,1,42.134375,77.37575704395614
WA,47,2012,2,43.88110599078343,82.51819994240299
WA,47,2013,1,36.554377880184326,69.50297592357809
WA,47,2014,1,37.751843317972366,76.03424217769131
WA,47,2015,1,39.2599846390169,76.42812960937955
WA,47,2016,1,44.47098214285715,82.3054287858278
WA,47,2017,1,46.4639880952381,86.85447879597439
WA,47,2018,1,39.27589285714284,83.24040193585573
WA,48,2008,1,40.046190476190475,85.26556299636405
WA,48,2009,1,43.000446428571436,83.41502333985542
WA,48,2010,1,35.22073732718893,85.07998978365964
WA,48,2011,1,36.99330357142857,80.16461047867608
WA,48,2012,1,41.80414746543779,82.24266901589323
WA,48,2013,1,37.696313364055314,82.25001507472298
WA,48,2014,1,42.68986175115207,79.48866273108824
WA,48,2015,1,31.604185867895552,74.73799977539937
WA,48,2016,1,41.61026785714286,83.39280117370949
WA,48,2017,1,40.54732142857143,87.08472801837046
WA,48,2018,1,43.00952380952381,88.51488799299757
WA,49,2008,1,41.33142857142857,80.48321080025988
WA,49,2009,1,34.14241071428572,73.33146635728448
WA,49,2010,1,40.6820276497696,85.17497474385094
WA,49,2011,1,31.541964285714283,84.8845067197063
WA,49,2012,1,41.79585253456222,79.88284356765881
WA,49,2013,1,26.208294930875567,60.86511105292096
WA,49,2014,2,34.846543778801845,80.0185804532006
WA,49,2015,1,37.70665130568357,82.60008990418348
